timestamp_unix,nll,alert
1787949601.065303,0.016581,0
1787949602.037594,0.008554,0
1787949603.091050,0.017680,0
1787949604.018149,0.008554,0
1787949605.075310,0.045086,0
1787949606.068484,0.008554,0
1787949607.107125,0.016521,0
1787949608.029721,0.096129,0
1787949609.135000,0.008554,0
1787949610.064082,0.044986,0
1787949611.126577,0.008554,0
1787949612.126914,0.531554,0
1787949613.166754,0.097427,0
1787949614.158936,0.008554,0
1787949615.164331,0.008554,0
1787949616.155433,0.008554,0
1787949617.164710,0.008554,0
1787949618.158658,0.016521,0
1787949619.193358,0.042599,0
1787949620.111401,0.008554,0
1787949621.212946,0.045086,0
1787949622.216594,0.008554,0
1787949623.238718,0.008554,0
1787949624.231480,11.018366,1
1787949625.245409,1.451557,0
1787949626.235945,0.008554,0
1787949627.245602,0.096129,0
1787949628.266078,0.184100,0
1787949629.273497,5.626144,1
1787949630.281655,0.012616,0
1787949631.250280,0.042599,0
1787949632.286343,0.045086,0
1787949633.292840,0.353893,0
1787949634.279219,0.008554,0
1787949635.234216,11.578259,1
1787949636.319497,10.285964,1
1787949637.311778,8.329012,1
1787949638.331497,0.017927,0
1787949639.297822,5.330047,1
1787949640.316202,0.008554,0
1787949641.339269,0.239867,0
1787949642.336567,0.008554,0
1787949643.342250,0.016581,0
1787949644.372534,0.016581,0
1787949645.369107,0.008554,0
1787949646.373188,0.008554,0
1787949647.367362,0.019449,0
1787949648.347290,0.056701,0
1787949649.389757,0.049072,0
1787949650.275735,0.016581,0
1787949651.340392,1.182536,0
1787949652.358300,0.016521,0
1787949653.410029,0.016521,0
1787949654.411114,0.016342,0
1787949655.383057,0.016342,0
1787949656.440552,0.012616,0
1787949657.430888,0.008554,0
1787949658.420634,0.008554,0
1787949659.462713,0.021743,0
1787949660.452484,0.008554,0
1787949661.446646,0.016521,0
1787949662.434806,0.045086,0
1787949663.477458,2.357811,1
1787949664.478485,4.095779,1
1787949665.479486,5.972923,1
