timestamp_unix,nll,alert
1787950050.459837,0.027860,0
1787950051.467799,0.055210,0
1787950052.499552,0.042599,0
1787950053.474882,0.008554,0
1787950054.503512,0.016521,0
1787950055.527219,0.258739,0
1787950056.533874,0.032415,0
1787950057.539109,0.020324,0
1787950058.537918,0.008554,0
1787950059.551667,0.319405,0
1787950060.555705,0.016342,0
1787950061.563264,0.995239,0
1787950062.566925,0.016342,0
1787950063.539684,0.008554,0
1787950064.530090,0.008554,0
1787950065.571619,0.016521,0
1787950066.600171,0.044986,0
1787950067.606614,0.545104,0
1787950068.614889,0.016686,0
1787950069.611218,0.016521,0
1787950070.629702,0.008554,0
1787950071.596267,0.016581,0
1787950072.630617,0.008554,0
1787950073.645941,0.016581,0
1787950074.657911,0.022691,0
1787950075.639623,1.895292,1
1787950076.671059,0.016686,0
1787950077.680990,0.021006,0
1787950078.668255,0.008554,0
1787950079.684700,10.447739,1
1787950080.695776,2.054974,1
1787950081.677253,0.008554,0
1787950082.707434,0.045086,0
1787950083.720807,0.996239,0
1787950084.709786,0.008554,0
1787950085.701813,1.214594,0
1787950086.739425,0.016342,0
1787950087.750916,0.022691,0
1787950088.739276,0.042599,0
1787950089.767429,0.021006,0
1787950090.767873,0.008554,0
1787950091.779633,0.008554,0
1787950092.774281,0.018662,0
1787950093.795527,1.164391,0
1787950094.765597,0.016581,0
1787950095.812142,0.012616,0
1787950096.783466,0.008554,0
1787950097.829541,0.044379,0
1787950098.820179,0.008554,0
1787950099.844329,0.017490,0
1787950100.835898,0.008554,0
1787950101.788119,0.195547,0
