timestamp_unix,nll,alert
1787949928.113274,0.104683,0
1787949929.135659,0.016521,0
1787949930.109539,0.154236,0
1787949931.140749,0.008554,0
1787949932.132012,0.018662,0
1787949933.091535,0.008554,0
1787949934.114482,0.008554,0
1787949935.124375,0.008554,0
1787949936.135674,0.056701,0
1787949937.156526,0.008554,0
1787949938.114126,0.044986,0
1787949939.188445,0.042599,0
1787949940.170927,0.016342,0
1787949941.182993,0.029403,0
1787949942.158411,0.008554,0
1787949943.143771,0.008554,0
1787949944.129843,0.016521,0
1787949945.204191,0.017020,0
1787949946.167364,0.044986,0
1787949947.229719,0.057838,0
1787949948.225367,5.626144,1
1787949949.237214,0.212507,0
1787949950.226824,0.008554,0
1787949951.211734,0.008554,0
1787949952.192361,0.016521,0
1787949953.271115,0.045086,0
1787949954.230510,7.052280,1
1787949955.284683,0.045086,0
1787949956.277415,5.738519,1
1787949957.302163,5.571426,1
1787949958.309148,6.906774,1
1787949959.275562,0.057041,0
1787949960.318635,5.637403,1
1787949961.293047,1.900421,1
1787949962.307203,7.682944,1
1787949963.285408,0.049169,0
1787949964.334342,0.045086,0
1787949965.348243,0.045086,0
1787949966.285867,0.008554,0
1787949967.338728,0.016581,0
1787949968.330632,0.044986,0
1787949969.253681,0.008554,0
1787949970.375119,0.016521,0
1787949971.373703,0.008554,0
1787949972.328649,0.008554,0
