timestamp_unix,nll,alert
1787865826.375453,0.136752,0
1787865827.455451,0.019449,0
1787865828.437407,0.016342,0
1787865829.310596,0.016581,0
1787865830.361233,0.212507,0
1787865831.405476,0.161601,0
1787865832.494231,0.008554,0
1787865833.489393,0.008554,0
1787865834.519773,0.021930,0
1787865835.513906,0.078842,0
1787865836.532872,0.104576,0
1787865837.430526,0.016342,0
1787865838.535675,0.373871,0
1787865839.527752,7.974479,1
1787865840.520748,0.057041,0
1787865841.556974,0.024339,0
1787865842.537878,0.603427,0
1787865843.568672,0.767850,0
1787865844.546760,10.447739,1
1787865845.554665,0.008554,0
1787865846.589694,0.008554,0
1787865847.512675,0.016521,0
1787865848.548613,0.016342,0
1787865849.551919,10.166481,1
1787865850.577301,10.477634,1
1787865851.618093,7.136787,1
1787865852.622014,5.366069,1
1787865853.620737,8.022771,1
1787865854.611883,5.256940,1
1787865855.536786,0.019101,0
1787865856.598009,0.024339,0
1787865857.597866,0.016342,0
1787865858.578639,10.447739,1
1787865859.653649,6.399470,1
1787865860.659677,0.012282,0
1787865861.623404,10.477634,1
1787865862.664494,0.008554,0
1787865863.500487,0.148427,0
1787865864.501861,0.829319,0
1787865865.503278,5.750109,1
1787865866.504406,8.398492,1
1787865867.505401,10.156267,1
1787865868.506754,10.190851,1
1787865869.508301,10.225378,1
1787865870.509630,10.244050,1
1787865871.511147,10.237666,1
1787865872.512053,10.246016,1
1787865873.513591,10.209851,1
1787865874.515180,10.112963,1
1787865875.516711,9.816540,1
1787865876.518350,9.972877,1
1787865877.519938,10.173360,1
1787865878.521516,10.186014,1
1787865879.522900,10.200067,1
1787865880.524359,10.200067,1
1787865881.525862,10.200067,1
1787865882.527446,10.200067,1
